claim_id,section,claim_summary,classification,confidence,evidence_type,file_path,symbol_or_object,line_range,commit_or_version,notes
E-001,4,Peer-Review引擎基于LangGraph StateGraph,Observed,High,code,_factory/patterns/peer-review/src/peer_review/graph/review_graph.py,build_review_graph,44-110,main,
E-002,4,Smart Proxy SSE流式网关 :4000,Observed,High,code,_infra/smart_proxy_streaming.py,chat_proxy,112-160,main,chunk超时600s
E-003,6,LLMBackend抽象支持4种后端,Observed,High,code,_factory/patterns/peer-review/src/peer_review/llm_client.py,LLMBackend,80-260,main,MTPLX/Ollama/LiteLLM/LlamaCpp
E-004,2,models.yaml为模型注册SSOT,Observed,High,config,config/models.yaml,,1-60,main,6个模型定义
E-005,2,routing_plans.yaml定义5种Plan,Observed,High,config,config/routing_plans.yaml,,1-80,main,full-check/default/mtplx-hybrid/high-quality/all-local
E-006,7,privacy_policy.yaml字段级出境策略,Observed,High,config,config/privacy_policy.yaml,,1-90,main,4种policy
E-007,9,DataPrivacyGate存在但未全链路enforce,Inferred,Medium,code,_factory/patterns/peer-review/src/peer_review/platform/data_privacy_gate.py,,,main,llm_client中可选调用
E-008,5,RoutingPlanEngine负责Plan→Model映射,Observed,High,code,_factory/patterns/peer-review/src/peer_review/platform/routing_plan_engine.py,,,main,
E-009,7,KnowledgeHub使用LlamaIndex+ChromaDB,Observed,High,doc,docs/adr/ADR-005-knowledgehub-pure-llamaindex-chromadb.md,,,main,
E-010,4,ReviewState为会诊状态TypedDict,Observed,High,code,_factory/patterns/peer-review/src/peer_review/graph/state.py,ReviewState,15-30,main,
E-011,7,MemoryStore为Plan对比SSOT SQLite,Observed,High,doc,docs/adr/ADR-007-memorystore-as-plan-comparison-ssot.md,,,main,
E-012,8,forge CLI支持status/check/tasks/advance/gate,Observed,High,code,_infra/forge_tools/src/forge/cli.py,,,main,19 tests passed
E-013,2,fastapi-backend为项目脚手架模板,Observed,High,code,_factory/patterns/fastapi-backend/src/app/main.py,,,main,
E-014,3,debt-collection为首个实战项目,Observed,High,code,projects/debt-collection/src/debt/strategy.py,,,main,
E-015,2,ingestion-pipeline pattern存在,Observed,High,code,_factory/patterns/ingestion-pipeline/src/ingestion/pipeline.py,,,main,
E-016,2,data-acquisition pattern存在,Observed,High,code,_factory/patterns/data-acquisition/src/acquisition/planner.py,,,main,
E-017,2,debt-lawyer.expert知识包存在,Observed,High,doc,_factory/experts/debt-lawyer.expert/expert.yaml,,,main,
E-018,8,benchmark_test.py为端到端压测入口,Observed,High,code,scripts/benchmark_test.py,,,main,
E-019,10,ADR 001-007已记录,Observed,High,doc,docs/adr/README.md,,,main,
E-020,4,Smart Proxy支持AppleScript自动拉起模型,Observed,High,code,_infra/smart_proxy_streaming.py,ensure_server,72-110,main,Mac-only
E-021,8,无CI/CD配置文件,Observed,High,ci,N/A,,,.github/workflows/不存在,
E-022,8,测试覆盖率低于15%,Inferred,Medium,test,./_factory/patterns/peer-review/tests/,,,main,仅1个测试文件
E-023,4,真实LLM调用成功耗时1132.5s,Observed,High,doc,docs/PROJECT_STATE.md,§4,1-20,main,2026-06-20
E-024,1,VRAM红线48GB,Observed,High,doc,HANDOFF.md,§4,1-10,main,
E-025,10,LangGraph为编排唯一标准 ADR-001,Observed,High,doc,docs/adr/ADR-001-langgraph-migration.md,,,main,
E-026,10,models+routing双文件管理 ADR-002,Observed,High,doc,docs/adr/ADR-002-dual-file-model-management.md,,,main,
