risk_id,title,category,severity,likelihood,impact,upgrade_sensitivity,evidence_refs,mitigation_hint
R-001,Smart Proxy单点无熔断/健康探针,架构风险,High,High,全厂停摆,High,E-002/E-030,为 /healthz + 熔断 + 重试 + 鉴权；部署多副本
R-002,VRAM LRU回收与AppleScript拉起竞态,架构风险,High,Medium,模型冷启动超时/死锁,High,E-020/E-044,引入模型预热池+队列+超时熔断；抽象ModelLauncher
R-003,无CI/CD与自动化质量门禁,发布风险,High,High,回归缺陷流入生产,High,E-021/E-048,GitHub Actions: pytest + ruff + pip-audit + SBOM
R-004,隐私合规gate未全链路enforce,安全风险,Medium,Medium,敏感数据出境违规,High,E-007,llm_client强制privacy_check；审计日志落盘；单测覆盖
R-005,知识库溯源断裂手工维护,数据风险,Medium,High,知识不可信/幻觉放大,Medium,E-009,provenance_manager自动接入ingest；校验source
R-006,配置多份拷贝漂移,运维风险,Medium,High,Plan与模型不一致导致运行时崩,Medium,E-033,projects/config改为symlink/继承根config；CI校验一致性
R-007,密钥明文.env无Vault,安全风险,Medium,High,密钥泄露,Medium,E-031,迁至1Password CLI / Vault；.env加入gitignore强校验
R-008,ReviewState无版本化,架构风险,Medium,Medium,State变更级联崩全部Node,High,E-028/E-010,引入State schema版本 + 兼容性测试
R-009,测试覆盖率<15%,技术债,High,High,重构即崩,High,E-022,补P0模块单测至≥60%；引入fake backend录制回放
R-010,依赖未pin版本,供应链风险,Medium,High,供应链投毒/破坏性升级,Medium,E-032,poetry/uv lock；pip-audit进CI；生成SBOM
R-011,网关无鉴权暴露风险,安全风险,Medium,Low,若端口误对外则任意调用,High,E-030,FastAPI Bearer Token中间件；默认bind 127.0.0.1
R-012,Prompt注入无防护,安全风险,Medium,Medium,LLM越权/数据泄露,Medium,E-049,输入净化层；Prompt firewall；输出校验
R-013,无可观测性Trace/Metrics,可观测性风险,Medium,High,故障无法定位,High,E-035,OpenTelemetry + Langfuse + Prometheus
R-014,AppleScript平台绑定不可移植,可移植性风险,Medium,High,无法Linux/云部署,High,E-020,抽象ModelLauncher接口；提供systemd/docker启动器
R-015,MemoryStore SQLite无备份/迁移,数据风险,Medium,Medium,历史丢失/升级崩,Medium,E-011,备份策略+ Alembic迁移；project_id分片
R-016,手工部署易错无Runbook自动化,运维风险,Medium,High,启动失败/环境漂移,Medium,E-040,docker-compose一键启动；systemd unit；健康检查脚本
R-017,模型权重来源与许可证未知,合规风险,Medium,Low,法律合规风险,Low,E-045,建立MODEL_BILL_OF_MATERIALS.md；记录权重来源与license
R-018,无OpenAPI/契约文档,技术债,Low,High,集成方无法对接,Medium,E-046,生成OpenAPI spec；契约测试
R-019,日志无结构化,技术债,Low,High,无法聚合分析,Low,E-035,structlog JSON日志
R-020,多租户隔离缺失,架构风险,Medium,Low,当前单租户无法扩展,High,N/A,MemoryStore按project_id分库；ReviewState加tenant字段
